Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 0,941.081,1057.01,1,0,3,53,5,40,101,168.547,137.887,72.9434,4.89274,11.1566,11.8809, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 0,933.009,1056.22,1,0,3,82,6,50,85,154.11,142.256,76.8902,15.2435,15.893,10.9401, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 0,683.75,1057.25,1,0,3,104,7,54,84,152.356,144.067,76.6731,18.9882,12.0404,17.8063, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 0,698.1,1057.8,1,0,3,73,6,42,90,155.425,130.288,74.4932,8.57233,13.0495,14.0238, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 0,691.5,1056.5,1,0,3,64,5,38,93,168.156,133.719,78.4219,7.35467,11.2781,13.4245, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 0,1502.5,1052,1,0,2,118,6,34,156,156.847,105,38.0763,6.91268,5.84331,4.17607, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 0,649,931,1,0,2,30,4,178,145,80.2667,206.733,202.2,2.20922,5.02437,3.15097, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 0,1050.5,931.5,1,0,2,53,4,56,155,229.226,222.925,148.34,22.1023,8.21071,17.3672, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 1,1052.5,923,1,0,2,89,6,46,216,244.539,217.843,134.697,14.5995,14.8644,12.9337, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 0,1303.03,930.838,1,0,3,46,4,56,153,231.13,226.087,158.891,23.214,10.4428,20.0585, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 0,1304,923,1,0,3,106,7,50,190,239.84,224.443,152.019,20.0912,20.1745,21.4515, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 1,652.9,903.3,1,0,3,25,4,178,148,82.36,209.04,204.72,2.26111,3.45732,2.34224, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 1,646,897.5,1,0,3,45,5,178,162,85.4,216.711,210.667,5.69704,6.34425,5.06065, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 1,645.5,890,1,0,3,64,5,180,158,87.625,215.641,215.047,5.31386,6.56599,5.9353, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 1,425.5,885,1,0,2,44,4,176,147,83.2727,209.182,202.409,2.55744,4.27714,3.37715, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 1,423,878,1,0,2,29,4,178,156,88.1724,215.069,209.621,4.00653,5.6158,7.60415, "2020-03-25 [15:20:29]: no comment"
"\\Mac\Home\Desktop\ot1-colony-picker-master\2020 cropped.tiff", 1,892.5,868,1,0,2,26,4,182,188,95.5769,227.846,231.231,2.18234,4.44955,2.94754, "2020-03-25 [15:20:29]: no comment"
