Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,856.7,1571.6,1,0,2,33,4,84,53,24.8182,28.9091,18.5455,2.62284,2.26404,2.74236, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 1,667,1531,1,0,2,55,6,160,143,145.236,224.382,197.873,8.71766,5.24903,4.46439, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 1,383.5,1521.5,1,0,2,126,7,154,160,158.69,233.294,199.532,11.9722,10.3665,6.5172, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,14.4,1540.2,1,0,4,29,4,44,102,111.586,94.1724,47.8966,5.58271,7.49174,5.15514, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,11,1530,1,0,4,40,4,50,94,124.025,113.4,56.775,13.2811,13.2593,11.3259, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 1,249.853,1502.41,1,0,2,22,4,176,70,114.364,175.091,169.818,4.18441,7.57757,6.02391, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,29,1501,1,0,3,54,5,32,145,169.556,113.574,46.8889,5.68515,4.63421,6.15919, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,1054.9,1505.66,1,0,2,207,9,34,154,141.082,93.6522,35.2126,13.8686,8.50554,6.02297, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,1068.73,1496.62,1,0,2,283,10,32,151,153.166,101.134,39.3852,14.7811,11.4909,6.65717, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,312,1448.5,1,0,2,89,6,50,228,247.753,228.921,130.011,9.07309,10.6503,19.3079, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,568.115,1445.58,1,0,4,68,6,44,185,233.662,204.574,121.5,12.1072,9.45806,21.888, "2020-03-25 [18:13:13]: no comment"
"\\.psf\Home\Desktop\ot1-colony-picker-master\2020_cropped.jpg", 0,581.5,1441,1,0,4,122,7,136,170,200.344,243.918,212.385,28.837,10.3217,20.2117, "2020-03-25 [18:13:13]: no comment"
