Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,982.5,1479,0,0,3,28,4,0,0,6,5.60714,5.75,10.9893,10.439,10.7381, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,128.052,1276.62,0,0,3,169,8,0,0,2.82249,2.82249,2.82249,7.07579,7.07579,7.07579, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,640,1139,1,0,2,49,5,0,0,133.347,133.347,133.347,9.60126,9.60126,9.60126, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,649,1136,1,0,2,74,6,0,0,132.73,132.73,132.73,10.2638,10.2638,10.2638, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,367.5,1137.5,1,0,2,119,6,0,0,75.4958,75.4958,75.4958,29.1654,29.1654,29.1654, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,376,627.5,1,0,2,42,5,0,0,94.5714,94.5714,94.5714,12.2866,12.2866,12.2866, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,874.7,634.9,1,0,3,129,7,0,0,127.705,127.705,127.705,16.0062,16.0062,16.0062, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,883.5,631,1,0,3,49,5,0,0,138.306,138.306,138.306,5.80732,5.80732,5.80732, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,888.5,625,1,0,3,52,5,0,0,120.038,120.038,120.038,12.6486,12.6486,12.6486, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,567,622.5,1,0,2,134,7,0,0,54.1642,54.1642,54.1642,20.4519,20.4519,20.4519, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,825.5,600,1,0,2,29,4,0,0,167.931,167.931,167.931,5.53288,5.53288,5.53288, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,816.2,592.6,1,0,2,85,6,0,0,138.118,138.118,138.118,12.4865,12.4865,12.4865, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,620.5,588,1,0,2,47,4,0,0,114.809,114.809,114.809,7.7812,7.7812,7.7812, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,953.538,565.808,0,0,7,141,8,0,0,6.94326,6.94326,6.94326,15.4393,15.4393,15.4393, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,923.541,539.451,0,0,7,142,7,0,0,9.61972,9.61972,9.61972,14.7686,14.7686,14.7686, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,913.081,533.514,0,0,7,169,9,0,0,5.98225,5.98225,5.98225,12.2636,12.2636,12.2636, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,617.363,411.699,1,0,2,194,8,0,0,93.7423,93.7423,93.7423,16.9866,16.9866,16.9866, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,604.5,409,1,0,2,128,7,0,0,85.6719,85.6719,85.6719,20.0419,20.0419,20.0419, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,880.5,129,1,0,2,189,8,0,0,135.519,135.519,135.519,34.0886,34.0886,34.0886, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,642,126.5,1,0,2,89,6,0,0,10.7528,10.7528,10.7528,18.2694,18.2694,18.2694, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,892,74,1,0,2,31,4,0,0,186.613,186.613,186.613,5.52718,5.52718,5.52718, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,4.5,8.5,0,0,2,40,4,0,0,16.725,16.725,16.725,18.8494,18.8494,18.8494, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,8,3.5,0,0,2,45,5,0,0,19.9333,19.9333,19.9333,18.7606,18.7606,18.7606, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,3.5,1497.5,0,0,1,36,4,0,0,38.6389,38.6389,38.6389,28.0043,28.0043,28.0043, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,561.5,1419,1,0,1,244,9,0,0,94.7828,94.7828,94.7828,25.9622,25.9622,25.9622, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,576.5,1406,1,0,1,38,4,0,0,154.842,154.842,154.842,5.55103,5.55103,5.55103, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,630.75,1398.75,1,0,1,44,4,0,0,154.864,154.864,154.864,7.46174,7.46174,7.46174, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,881,1381,1,0,1,47,5,0,0,176.255,176.255,176.255,6.11347,6.11347,6.11347, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,622.5,1380.5,1,0,1,80,5,0,0,157.888,157.888,157.888,9.33666,9.33666,9.33666, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,363,1380.5,1,0,1,119,7,0,0,86.0588,86.0588,86.0588,15.5275,15.5275,15.5275, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,555.5,1361.5,1,0,1,57,4,0,0,129.14,129.14,129.14,8.63749,8.63749,8.63749, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,614,1323,1,0,1,52,5,0,0,127.712,127.712,127.712,6.72893,6.72893,6.72893, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,396,1143,1,0,1,38,4,0,0,139.132,139.132,139.132,7.97051,7.97051,7.97051, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,658,1121,1,0,1,39,4,0,0,133.41,133.41,133.41,7.36786,7.36786,7.36786, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,819.75,1122.75,1,0,1,225,9,0,0,103.916,103.916,103.916,15.9463,15.9463,15.9463, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,880,1096,1,0,1,79,6,0,0,155.392,155.392,155.392,8.4297,8.4297,8.4297, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,394,1090.5,1,0,1,88,6,0,0,131.795,131.795,131.795,16.8388,16.8388,16.8388, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,644,1085.5,1,0,1,37,4,0,0,127.486,127.486,127.486,9.91589,9.91589,9.91589, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,375.5,1084,1,0,1,40,4,0,0,150.95,150.95,150.95,9.01233,9.01233,9.01233, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,657.5,924,1,0,1,44,4,0,0,92.2727,92.2727,92.2727,11.5859,11.5859,11.5859, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,647.65,901.55,1,0,1,49,5,0,0,109.878,109.878,109.878,10.4796,10.4796,10.4796, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,564.5,900.5,1,0,1,41,4,0,0,100.902,100.902,100.902,8.91357,8.91357,8.91357, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,406,900,1,0,1,26,4,0,0,73.5,73.5,73.5,9.10627,9.10627,9.10627, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,611.5,898,1,0,1,92,6,0,0,116.511,116.511,116.511,13.9812,13.9812,13.9812, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 1,921.5,886,1,0,1,78,5,0,0,141.141,141.141,141.141,10.7727,10.7727,10.7727, "2019-04-13 [18:42:13]: no comment"
