Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,950.5,1618.5,0,0,3,190,10,0,0,40.5158,40.5158,40.5158,27.8837,27.8837,27.8837, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,955,1599,0,0,3,322,11,0,0,26.705,26.705,26.705,34.9238,34.9238,34.9238, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,129.662,1616.95,0,0,4,210,10,0,0,19.6143,19.6143,19.6143,22.3184,22.3184,22.3184, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,124.75,1595.25,0,0,4,341,13,0,0,27.8065,27.8065,27.8065,37.0141,37.0141,37.0141, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,923.5,1589,0,0,3,817,18,0,0,253.6,253.6,253.6,6.05855,6.05855,6.05855, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,976.5,1593,0,0,2,247,9,0,0,254.045,254.045,254.045,3.81588,3.81588,3.81588, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,154.5,1585,0,0,4,791,16,0,0,252.129,252.129,252.129,9.26465,9.26465,9.26465, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,119.489,1570.29,0,0,3,224,9,0,0,254.58,254.58,254.58,1.78647,1.78647,1.78647, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,1037.47,1526.64,0,0,3,701,15,0,0,253.642,253.642,253.642,5.52275,5.52275,5.52275, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,36.3717,1523.92,0,0,4,294,12,0,0,252.211,252.211,252.211,7.84397,7.84397,7.84397, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,49.3524,1514.62,0,0,4,282,11,0,0,253.922,253.922,253.922,3.13572,3.13572,3.13572, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,1048.5,1504.5,0,0,2,245,10,0,0,59.7184,59.7184,59.7184,30.2622,30.2622,30.2622, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,930,1509,0,0,2,428,14,0,0,253.259,253.259,253.259,3.28169,3.28169,3.28169, "2019-04-14 [4:16:52 PM]: no comment"
