Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,983.17,1615.81,0,0,2,78,6,0,0,213.59,213.59,213.59,12.7282,12.7282,12.7282, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,973.55,1614.15,0,0,2,101,7,0,0,212.713,212.713,212.713,12.0097,12.0097,12.0097, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,107,1611.5,0,0,2,89,6,0,0,205.494,205.494,205.494,9.7437,9.7437,9.7437, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,924.5,1545.5,0,0,3,64,6,0,0,244.688,244.688,244.688,10.7866,10.7866,10.7866, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,16.4,1517.3,0,0,2,102,8,0,0,200,200,200,21.5436,21.5436,21.5436, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,13.1552,1507.86,0,0,2,144,8,0,0,153.833,153.833,153.833,48.4485,48.4485,48.4485, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,123,1507,0,0,2,56,6,0,0,8.46429,8.46429,8.46429,10.7229,10.7229,10.7229, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,683.776,1501.81,0,0,2,79,6,0,0,160.266,160.266,160.266,4.89972,4.89972,4.89972, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,48.5294,1507.12,0,0,2,74,6,0,0,253.703,253.703,253.703,2.82127,2.82127,2.82127, "2019-04-14 [4:16:52 PM]: no comment"
"\\Mac\Home\Desktop\ot-picker\pic6.jpg", 0,216.8,1487.4,0,0,2,129,7,0,0,143.225,143.225,143.225,7.14456,7.14456,7.14456, "2019-04-14 [4:16:52 PM]: no comment"
