Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,884.769,3551.35,0,0,6,252,11,196,16,60.4206,66.1468,68.4325,8.18006,7.78337,8.62615, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2264.14,3448.48,0,0,3,624,16,54,232,253.811,251.905,233.95,2.98217,6.04204,5.2595, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2255.35,3420.75,0,0,3,330,11,58,233,253.915,253.2,233.021,3.01481,4.28763,6.28659, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2184.28,3145.46,0,0,4,584,16,270,4,59.3373,58.0291,60.1866,9.44164,9.85195,11.4138, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2151.5,2871,0,0,3,943,18,252,15,41.2651,40.456,45.4475,7.22005,7.33343,7.58666, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2151.1,2843.84,0,0,3,795,16,240,13,47.234,46.5333,51.6704,8.93404,9.29502,9.25686, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2054.01,2710.93,0,0,2,340,12,26,43,219.7,212.326,205.682,13.3695,13.1002,12.7124, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2089.25,2596.75,0,0,2,334,11,32,55,191.368,175.117,156.003,35.9098,35.0318,32.8047, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1026.5,2563.5,0,0,6,449,13,20,6,60.51,59.4143,57.8285,4.80078,4.73121,5.21097, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1009.63,2561.16,0,0,6,340,11,0,4,59.8235,58.3324,58.4029,6.05657,5.70402,6.72759, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1836.5,2569,0,0,7,400,12,26,8,146.915,143.063,140.35,7.54085,7.3197,7.18405, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1523.5,2331,1,0,3,501,13,240,13,36.5808,37.2854,41.2535,4.72936,4.88564,4.85899, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,929,2212.5,0,0,10,330,11,210,4,66.3848,66.8303,68.3364,19.7321,19.0448,19.6917, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1249.09,2017.97,1,0,5,340,11,0,0,68.2529,68.0029,67.5118,4.78085,4.68822,4.38811, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2140.1,1858.64,1,0,3,408,13,210,5,47.6863,48.6373,49.8799,12.484,12.2499,12.1598, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2126.88,1754.73,1,0,9,467,12,216,28,39.6574,43.8587,50.3597,5.16552,5.41058,5.6633, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1235.25,1295.25,1,0,5,494,13,206,17,144.304,151.893,157.986,27.3592,27.6523,26.7962, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1651.13,1155.53,1,0,2,453,15,24,179,109.183,54.2517,19.0066,14.3653,7.95703,11.0554, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1666.5,1143.5,1,0,2,463,15,26,193,94.4881,46.8402,13.1598,7.00642,4.35649,4.92373, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1302,1143,0,0,4,536,15,300,7,94.4123,88.9739,94.3806,14.2534,11.3399,13.1545, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,847.162,1128.47,0,0,2,330,11,240,6,19.9939,20.1061,20.7636,10.7263,10.6865,11.2045, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1531.85,1005.01,0,0,6,250,11,30,30,37.768,33.512,30.388,5.46343,5.49198,5.58579, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1800.4,1004.7,0,0,9,501,15,30,25,44.0739,40.1058,35.8084,6.10025,6.53728,6.3548, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1885.11,1009.79,0,0,9,474,18,20,19,44.2194,40.1962,37.7595,5.86119,5.86717,5.60384, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2102.59,969.853,0,0,3,404,12,60,9,30.4208,29.5322,27.5495,6.46194,6.62099,6.83901, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1018.84,963.404,0,0,3,313,13,12,25,27.5048,24.3706,23.3035,8.56025,8.54137,8.05301, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,991.992,960.09,0,0,3,301,11,16,17,31.5914,29.3455,27.7874,8.79316,8.41778,8.25437, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,695.37,949.486,0,0,3,465,15,60,4,66.4237,65.9957,63.6516,9.98213,9.40532,10.7009, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,669.384,943.856,0,0,3,464,14,40,6,62.7241,62.2026,59.806,5.55112,5.59923,5.69146, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2105,843.5,0,0,4,460,13,40,85,6.05435,4.52174,3.41522,4.30403,4.30966,4.05589, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,686.369,812.954,0,0,6,306,11,28,21,112.879,104.193,96.1242,6.11455,5.89151,6.81279, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,706.574,785.258,0,0,6,311,11,36,14,115.302,109.781,103.46,7.74944,8.15091,8.31497, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2322.28,795.164,0,0,5,646,17,36,24,115.255,106.701,95.096,8.4803,8.44862,9.17911, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,794.192,3560.04,0,0,1,412,13,188,21,113.454,130.299,132.541,9.69998,12.4602,13.6459, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1828,2697,0,0,1,511,14,16,8,63.8963,60.8258,60.4462,10.5961,10.0635,9.73465, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,1756.5,2555,0,0,1,617,15,42,66,228.42,222.036,209.394,29.7992,33.3554,39.7263, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2143,1154.5,0,0,1,404,12,240,6,43.5074,43.9653,45.5272,8.69547,8.73214,8.3351, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,790,445.5,0,0,1,416,12,0,51,2.82933,2.10817,1.9976,3.33745,3.0628,3.11848, "2019-04-13 [12:21:43 PM]: no comment"
"\\Mac\Home\Desktop\sweet_colony.jpg", 0,2244,441,0,0,1,382,12,30,128,2.85602,2.38482,1.43979,3.63638,3.46782,3.13676, "2019-04-13 [12:21:43 PM]: no comment"
