Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2130.82,3859.58,1,0,3,689,18,0,10,65.2017,59.8171,59.9623,6.60439,6.84797,7.16312, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,1468.5,3848,1,0,3,1460,23,16,22,69.9911,62.3637,59.4897,6.53067,6.70879,6.81948, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,907.5,3855.5,1,0,8,1149,23,220,11,34.4386,34.5161,37.0418,6.01182,5.95488,6.60399, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2530.75,3397.25,1,0,2,1015,20,240,4,57.0887,57.2256,59.1103,6.63225,6.56868,6.53463, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2094.87,3322.32,1,0,9,643,17,22,17,63.6827,58.5163,55.6299,6.57255,6.09148,6.31173, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2133.5,3291.5,1,0,9,605,17,20,15,55.2959,50.8661,49.3388,6.41715,6.18136,5.79179, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2455.38,3258.34,1,0,8,1066,21,0,0,45.3189,45.0403,45.0281,8.20287,7.64831,7.70675, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,1379.97,3137.14,1,0,8,1171,21,44,6,165.978,165.466,161.539,9.53342,9.31897,9.00901, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2476.78,2899.41,1,0,2,1311,23,30,19,87.418,80.5744,74.5934,5.93303,5.95537,6.60527, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2057,2698,1,0,6,1105,22,28,59,200.16,181.805,166.691,9.54176,9.276,8.57895, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2080.5,2675.5,1,0,6,1604,26,28,68,204.974,185.928,168.971,12.5603,11.5159,10.2396, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2120.93,2630.99,1,0,6,2024,31,28,97,218.582,195.735,174.964,14.5545,13.2068,12.4248, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2539.46,2456.73,1,0,5,3166,33,26,66,197.838,176.08,158.45,8.41543,7.15097,7.04206, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2547.4,2411.62,1,0,5,965,21,28,51,185.445,165.618,149.593,12.2181,10.541,9.77496, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2552.5,2388,1,0,5,907,19,26,45,178.714,160.41,146.021,10.698,8.69294,8.05676, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,503.218,2369.33,1,0,2,573,18,20,4,98.3525,95.5969,95.3124,11.7244,11.9501,12.3095, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2358.98,2254.1,1,0,2,2463,29,40,153,252.907,251.488,246.766,7.23845,10.1042,14.7013, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,386,2095,1,0,7,1369,22,40,10,80.8787,79.4485,75.271,4.81836,4.51171,4.51606, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,481,2086,1,0,6,743,16,222,10,82.5303,84.9058,89.5114,9.21376,8.77401,8.99391, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2533.2,1941.97,1,0,7,1642,30,26,28,153.088,139.479,127.585,11.5453,10.4676,10.0475, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2779,1840,1,0,6,2282,28,220,4,90.3848,91.0758,92.6573,17.0367,17.4841,17.8937, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,1057,1753,1,0,3,1079,21,0,0,4.30491,4.30491,4.15292,4.38243,4.38243,4.20793, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2565.25,1761.75,1,0,4,964,18,26,22,114.9,105.056,97.2936,13.4758,11.8305,10.7894, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2794.13,1717.55,1,0,4,1058,19,220,6,58.2259,58.8015,60.8129,7.6789,7.48426,7.48198, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2828.69,1581.46,1,0,6,722,18,28,13,135.054,128.303,122.125,5.66894,5.67897,5.89824, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,385,1407.5,1,0,3,2391,30,60,4,71.4421,70.6211,69.1522,7.7743,7.7283,7.79965, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,1216.8,1377.6,1,0,9,1094,21,0,2,126.682,124.996,124.66,13.9613,13.053,12.1419, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,1802.31,1330.72,1,0,6,713,18,40,17,23.7784,22.8626,20.9705,7.87384,7.2265,6.90652, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,1657,1173,1,0,3,699,16,28,19,91.907,85.0787,79.0787,3.5443,3.48563,3.48563, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,1838,1059.5,1,0,4,655,16,30,17,32.2672,29.8382,27.8718,6.63038,6.55869,6.18324, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,989.431,1087.45,1,0,6,1063,23,40,7,60.3255,59.1665,56.8354,10.6714,10.6691,10.2175, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,1671.07,1023.66,1,0,6,566,18,40,96,249.7,248.265,244.104,16.0533,18.8411,22.5815, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,1690.4,980.812,1,0,6,789,19,36,85,249.774,247.823,245.034,14.3954,18.335,20.951, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,1067.78,981.107,1,0,3,966,20,24,12,53.9814,51.207,49.2992,8.7653,7.96208,7.49658, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,1820.38,981.187,1,0,3,617,17,28,33,161.656,146.851,133.804,33.89,30.1253,30.7002, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,1766.02,762.707,1,0,16,540,16,26,56,230.087,221.75,215.75,25.6138,30.3454,29.6415, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2411.61,716.233,1,0,3,693,17,60,1,94.7403,94.7403,94.0794,7.28694,7.4811,7.85162, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2439.66,680.076,1,0,3,1110,22,220,4,84.445,84.8234,87.0135,15.0418,13.7895,10.9294, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,891.5,611,1,0,2,1544,23,16,6,90.3459,87.2494,85.8212,4.85129,4.61282,4.63727, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,193.623,600.009,1,0,8,949,21,30,3,77.7893,76.6828,76.4046,7.47552,7.62956,8.37214, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,317.5,538.5,1,0,10,923,18,330,6,43.3294,41.4529,41.8927,5.19046,5.1537,5.26866, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2829.94,552.885,1,0,8,709,20,40,8,100.353,98.4993,93.8406,5.51855,6.04804,6.24075, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2842.89,523.186,1,0,8,581,17,50,8,101.998,100.936,96.0929,5.89845,5.92362,5.97342, "2019-04-13 [13:54:58]: no comment"
"Z:\Downloads\IMG_20190413_134757.jpg", 0,2720.5,512.5,1,0,7,435,16,36,9,74.4805,72.2,69.246,7.54614,6.6523,6.35384, "2019-04-13 [13:54:58]: no comment"
