Full_Path,IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd,Comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,162,1430.5,1,0,1,118,7,352,136,213.847,121.322,132.983,27.6215,62.7279,63.0611,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,166.5,1175,1,0,1,143,7,358,146,212.566,101.238,105.867,23.8457,64.9346,66.288,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,179,932.5,1,0,1,189,8,356,158,213.418,76.6455,87.7672,18.802,58.3308,57.0351,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,196.5,692,1,0,1,124,7,354,134,213.573,123.379,130.54,27.6371,66.7715,66.72,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,200,440,1,0,1,132,7,354,141,212.811,109.144,117.977,25.1523,60.3636,56.5791,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,212,215.5,1,0,1,147,7,356,147,207.673,79.8095,90.2041,22.6352,68.5841,68.9871,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,377.5,1178.5,1,0,1,176,9,356,148,215.313,104.875,111.506,24.2144,67.875,71.0559,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,401,945.5,1,0,1,149,7,354,149,218.081,114.034,123.356,25.2776,66.3236,66.0948,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,408.5,1433,1,0,1,71,5,356,120,214.789,143.775,149.465,31.7804,52.0772,51.8352,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,431.5,462.5,1,0,1,145,7,356,148,217.503,116.145,122.828,24.1034,68.4322,65.2149,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,433,241.5,1,0,1,126,7,354,144,210.603,96.627,108.817,25.4777,65.0503,62.8756,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,439.5,722,1,0,1,137,8,354,140,215.796,121.204,130.745,28.8054,66.7613,66.3725,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,629,1202.5,1,0,1,245,10,358,147,213.759,102.147,106.608,21.9355,59.7586,61.1749,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,642.25,959.25,1,0,1,129,7,354,168,218.248,74.8992,88.5194,17.1893,57.5041,56.3078,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,650,1436.5,1,0,1,120,7,354,138,212.958,114.45,124.142,27.7838,65.5776,61.6149,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,677,240.5,1,0,1,89,6,356,137,206.506,95.0225,101.258,27.5986,60.6772,66.5772,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,684.6,735.3,1,0,2,88,7,356,146,211.33,92.5455,100.489,23.019,56.665,57.8779,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,687,483,1,0,1,180,10,356,152,215.233,97.2389,105.167,20.379,65.4215,61.6832,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,0,690,729,1,0,2,75,6,356,148,215.893,107.853,114.04,26.1314,66.7244,64.3141,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,884.25,728.75,1,0,1,132,7,356,141,211.045,101.939,110.295,21.9924,67.0641,65.9722,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,890.5,1429,1,0,1,105,6,352,133,222.924,153.095,162.333,26.4823,51.2329,49.9306,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,893.4,1211.3,1,0,1,216,9,356,150,212.176,89.1204,96.5648,20.449,69.9693,68.8778,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,0,911.1,939.7,1,0,2,89,6,354,150,211.258,84.9775,95.5955,23.65,52.6907,52.125,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,912,467,1,0,1,134,7,356,140,209.448,96.6418,103.41,23.3842,63.9737,61.5285,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,920.382,932.971,1,0,2,125,7,356,156,212.728,80.488,90.192,22.9123,61.4673,65.9136,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,1,923.5,237,1,0,2,165,8,356,155,211.012,74.5273,83.8,22.2457,65.3704,61.1729,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,0,927,227,1,0,2,86,6,352,135,205.628,95.4419,109.663,26.9588,66.2704,63.2377,2019-04-14 [11:43:40 AM]: no comment
\\Mac\Home\Desktop\ot-picker\pic3.jpg,0,955.5,1069,1,0,1,29,4,204,47,197.414,208.138,214.552,20.7755,19.8437,20.1087,2019-04-14 [11:43:40 AM]: no comment
