Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,989.75,1432.75,0,0,2,121,6,300,234,230.066,9.95041,229.099,22.7034,11.98,22.609, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,981.5,1424,0,0,2,165,8,300,223,222.685,14.8364,221.927,26.9512,15.9562,28.1988, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,740.838,1412.05,0,0,3,109,8,0,0,228.239,228.239,228.239,33.6485,33.6485,33.6485, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,732.794,1410.18,0,0,3,105,8,0,0,241.99,241.99,241.99,29.8419,29.8419,29.8419, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,723.027,1409.34,0,0,3,159,8,0,0,234.044,234.044,234.044,36.1697,36.1697,36.1697, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,732.5,1361,0,0,2,228,9,0,0,181.768,181.768,181.768,27.3324,27.3324,27.3324, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,137.269,1279.85,0,0,2,108,8,0,0,4.21296,4.21296,4.21296,11.266,11.266,11.266, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,838.5,1267,0,0,2,189,8,0,1,158.349,157.344,156.857,20.4296,20.1928,20.3132, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,827,1261.5,0,0,2,52,6,80,7,203.846,205.481,202.308,13.5903,15.2201,13.8236, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,879.5,1272,0,0,2,210,9,0,0,243.1,243.1,243.1,21.0379,21.0379,21.0379, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,879,1259.5,0,0,2,89,6,180,3,217.146,217.989,217.753,31.1906,31.2453,31.2206, "2019-04-13 [18:42:13]: no comment"
"Z:\workspace\Gel_images\rna-stf2 2019.04.13_17.33.34_Fl-UV\rna-stf2 2019.04.13_17.33.34_Fl-UV.jpg", 0,67.5,1243.5,0,0,2,106,6,0,0,246.34,246.34,246.34,16.2816,16.2816,16.2816, "2019-04-13 [18:42:13]: no comment"
